=== en-de ===
family |  |  | Nomen | die Familie | My family lives in Switzerland. | Meine Familie lebt in der Schweiz. | Her family eats dinner together. | Ihre Familie isst gemeinsam zu Abend. | ˈfæməli
la cuisine |  | f | Nomen | die Küche | Mon père cuisine dans la cuisine. | Mein Vater kocht in der Küche. | Notre cuisine a une petite table. | Unsere Küche hat einen kleinen Tisch. | kɥiˈzin
le jardin |  | m | Nomen | der Garten | Les enfants jouent dans le jardin. | Die Kinder spielen im Garten. | Nous avons des fleurs dans le jardin. | Wir haben Blumen im Garten. | ʒaʁˈdɛ̃
le pantalon |  | m | Nomen | die Hose | Ce pantalon est trop petit. | Diese Hose ist zu klein. | Son pantalon est neuf et bleu. | Seine Hose ist neu und blau. | pɑ̃taˈlɔ̃
la chemise |  | f | Nomen | das Hemd | Sa chemise est blanche. | Sein Hemd ist weiss. | Je cherche une nouvelle chemise. | Ich suche ein neues Hemd. | ʃəˈmiz
la chaussure |  | f | Nomen | der Schuh | Cette chaussure est trop grande. | Dieser Schuh ist zu gross. | Ma chaussure est sous le lit. | Mein Schuh liegt unter dem Bett. | ʃoˈsyʁ
la veste |  | f | Nomen | die Jacke | Sa veste est sur la chaise. | Ihre Jacke liegt auf dem Stuhl. | Je porte une veste chaude. | Ich trage eine warme Jacke. | ˈvɛst
le chien |  | m | Nomen | der Hund | Le chien court dans le jardin. | Der Hund rennt im Garten. | Notre chien boit de l'eau. | Unser Hund trinkt Wasser. | ˈʃjɛ̃
le chat |  | m | Nomen | die Katze | Le chat dort sur mon lit. | Die Katze schläft auf meinem Bett. | Notre chat a les yeux verts. | Unsere Katze hat grüne Augen. | ˈʃa
le cheval | le cheval, les chevaux | m | Nomen | das Pferd | Le cheval mange une pomme. | Das Pferd frisst einen Apfel. | Son cheval court très vite. | Ihr Pferd rennt sehr schnell. | ʃəˈval
l'oiseau |  | m | Nomen | der Vogel | Un oiseau est dans l'arbre. | Ein Vogel sitzt im Baum. | L'oiseau a des plumes bleues. | Der Vogel hat blaue Federn. | waˈzo
l'arbre |  | m | Nomen | der Baum | Cet arbre est très vieux. | Dieser Baum ist sehr alt. | Un oiseau chante dans l'arbre. | Ein Vogel singt im Baum. | ˈaʁbʁ
la fleur |  | f | Nomen | die Blume | Cette fleur est très belle. | Diese Blume ist sehr schön. | Elle tient une fleur rouge. | Sie hält eine rote Blume. | ˈflœʁ
le soleil |  | m | Nomen | die Sonne | Le soleil brille aujourd'hui. | Die Sonne scheint heute. | Nous nous asseyons au soleil. | Wir setzen uns in die Sonne. | sɔˈlɛj
la pluie |  | f | Nomen | der Regen | La pluie commence ce matin. | Der Regen beginnt heute Morgen. | Nous jouons dehors après la pluie. | Wir spielen nach dem Regen draussen. | ˈplɥi
la ville |  | f | Nomen | die Stadt | Cette ville a une grande gare. | Diese Stadt hat einen grossen Bahnhof. | Mes grands-parents habitent en ville. | Meine Grosseltern wohnen in der Stadt. | ˈvil
la rue |  | f | Nomen | die Strasse | Notre école est dans cette rue. | Unsere Schule liegt in dieser Strasse. | La rue est très calme aujourd'hui. | Die Strasse ist heute sehr ruhig. | ˈʁy
la gare |  | f | Nomen | der Bahnhof | Le train attend à la gare. | Der Zug wartet am Bahnhof. | Nous marchons jusqu'à la gare. | Wir gehen zu Fuss zum Bahnhof. | ˈɡaʁ
la voiture |  | f | Nomen | das Auto | Notre voiture est très vieille. | Unser Auto ist sehr alt. | Ma mère conduit la voiture. | Meine Mutter fährt das Auto. | vwaˈtyʁ
le train |  | m | Nomen | der Zug | Le train arrive à dix heures. | Der Zug kommt um zehn Uhr an. | Nous allons à l'école en train. | Wir fahren mit dem Zug zur Schule. | ˈtʁɛ̃
le magasin |  | m | Nomen | das Geschäft | Le magasin ouvre à huit heures. | Das Geschäft öffnet um acht Uhr. | J'achète du pain au magasin. | Ich kaufe Brot im Geschäft. | maɡaˈzɛ̃
être | être: je suis, tu es, il est |  | Verb | sein | Je veux être professeur. | Ich möchte Lehrer sein. | Nous sommes à la maison aujourd'hui. | Wir sind heute zu Hause. | ˈɛtʁ
avoir | avoir: j'ai, tu as, il a |  | Verb | haben | J'ai un nouveau livre. | Ich habe ein neues Buch. | Ils ont deux enfants. | Sie haben zwei Kinder. | aˈvwaʁ
aller | aller: je vais, tu vas, il va |  | Verb | gehen | Nous allons ensemble à l'école. | Wir gehen gemeinsam zur Schule. | Je vais au magasin maintenant. | Ich gehe jetzt ins Geschäft. | aˈle
venir | venir: je viens, tu viens, il vient |  | Verb | kommen | Mes amis viennent chez nous. | Meine Freunde kommen zu uns. | Viens à la maison demain. | Komm morgen nach Hause. | vəˈniʁ
faire | faire: je fais, tu fais, il fait |  | Verb | machen | Nous faisons le petit-déjeuner ensemble. | Wir machen gemeinsam das Frühstück. | Les élèves font un grand dessin. | Die Schüler machen eine grosse Zeichnung. | ˈfɛʁ
dire | dire: je dis, tu dis, il dit |  | Verb | sagen | Dis ton nom lentement. | Sag deinen Namen langsam. | Ils disent la réponse ensemble. | Sie sagen die Antwort gemeinsam. | ˈdiʁ
voir | voir: je vois, tu vois, il voit |  | Verb | sehen | Je vois un oiseau dehors. | Ich sehe draussen einen Vogel. | Nous voyons nos amis à l'école. | Wir sehen unsere Freunde in der Schule. | ˈvwaʁ
manger |  |  | Verb | essen | Nous mangeons à sept heures. | Wir essen um sieben Uhr. | Les enfants mangent du pain. | Die Kinder essen Brot. | mɑ̃ˈʒe
boire | boire: je bois, tu bois, il boit |  | Verb | trinken | Je bois de l'eau chaque jour. | Ich trinke jeden Tag Wasser. | Ils boivent du lait le matin. | Sie trinken morgens Milch. | ˈbwaʁ
apprendre | apprendre: j'apprends, tu apprends, il apprend |  | Verb | lernen | Nous apprenons le français à l'école. | Wir lernen in der Schule Französisch. | J'apprends dix nouveaux mots. | Ich lerne zehn neue Wörter. | aˈpʁɑ̃dʁ
jouer |  |  | Verb | spielen | Les enfants jouent dans le jardin. | Die Kinder spielen im Garten. | Je joue avec mon ami. | Ich spiele mit meinem Freund. | ʒuˈe
habiter |  |  | Verb | wohnen | Nous habitons près de la gare. | Wir wohnen nahe beim Bahnhof. | Mes grands-parents habitent en ville. | Meine Grosseltern wohnen in der Stadt. | abiˈte
grand |  |  | Adjektiv | gross | Leur maison est très grande. | Ihr Haus ist sehr gross. | Il a un grand chien. | Er hat einen grossen Hund. | ˈɡʁɑ̃
petit |  |  | Adjektiv | klein | Ma chambre est très petite. | Mein Zimmer ist sehr klein. | Elle a un petit chat. | Sie hat eine kleine Katze. | pəˈti
bon |  |  | Adjektiv | gut | Cette soupe est très bonne. | Diese Suppe ist sehr gut. | Il est un bon professeur. | Er ist ein guter Lehrer. | ˈbɔ̃
mauvais |  |  | Adjektiv | schlecht | Le temps est mauvais aujourd'hui. | Das Wetter ist heute schlecht. | C'est une mauvaise réponse. | Das ist eine schlechte Antwort. | moˈvɛ
nouveau |  |  | Adjektiv | neu | Ma sœur a un nouveau livre. | Meine Schwester hat ein neues Buch. | Nous habitons dans une nouvelle maison. | Wir wohnen in einem neuen Haus. | nuˈvo
vieux |  |  | Adjektiv | alt | Mon grand-père a un vieux chien. | Mein Grossvater hat einen alten Hund. | Cet arbre est très vieux. | Dieser Baum ist sehr alt. | ˈvjø
=== es-de ===
la familia |  | f | Nomen | die Familie | Mi familia vive en Suiza. | Meine Familie lebt in der Schweiz. | Toda la familia cena junta. | Die ganze Familie isst gemeinsam zu Abend. | faˈmilja
la madre |  | f | Nomen | die Mutter | Mi madre trabaja en casa. | Meine Mutter arbeitet zu Hause. | Su madre prepara una sopa. | Seine Mutter kocht eine Suppe. | ˈmaðɾe
el padre |  | m | Nomen | der Vater | Mi padre lee un libro. | Mein Vater liest ein Buch. | Su padre conduce el coche. | Ihr Vater fährt das Auto. | ˈpaðɾe
los padres |  | m pl | Nomen | die Eltern | Mis padres viven en Zúrich. | Meine Eltern wohnen in Zürich. | Sus padres vienen mañana. | Ihre Eltern kommen morgen. | ˈpaðɾes
la hermana |  | f | Nomen | die Schwester | Mi hermana va a la escuela. | Meine Schwester geht zur Schule. | Su hermana juega en el jardín. | Seine Schwester spielt im Garten. | eɾˈmana
el hermano |  | m | Nomen | der Bruder | Mi hermano tiene un perro. | Mein Bruder hat einen Hund. | Su hermano bebe leche. | Ihr Bruder trinkt Milch. | eɾˈmano
la abuela |  | f | Nomen | die Grossmutter | Mi abuela prepara pan fresco. | Meine Grossmutter macht frisches Brot. | Su abuela vive cerca. | Seine Grossmutter wohnt in der Nähe. | aˈβwela
el abuelo |  | m | Nomen | der Grossvater | Mi abuelo lee cada día. | Mein Grossvater liest jeden Tag. | Su abuelo tiene un coche viejo. | Ihr Grossvater hat ein altes Auto. | aˈβwelo
la hija |  | f | Nomen | die Tochter | Su hija tiene diez años. | Ihre Tochter ist zehn Jahre alt. | Mi hija aprende español. | Meine Tochter lernt Spanisch. | ˈixa
el hijo |  | m | Nomen | der Sohn | Su hijo juega con el perro. | Ihr Sohn spielt mit dem Hund. | Mi hijo vuelve mañana. | Mein Sohn kommt morgen zurück. | ˈixo
el niño |  | m | Nomen | das Kind | El niño bebe agua. | Das Kind trinkt Wasser. | Cada niño tiene un libro. | Jedes Kind hat ein Buch. | ˈniɲo
el hombre |  | m | Nomen | der Mann | El hombre abre la puerta. | Der Mann öffnet die Tür. | Un hombre espera delante de la escuela. | Ein Mann wartet vor der Schule. | ˈombɾe
la mujer |  | f | Nomen | die Frau | La mujer compra queso. | Die Frau kauft Käse. | Una mujer espera en la estación. | Eine Frau wartet am Bahnhof. | muˈxeɾ
el amigo |  | m | Nomen | der Freund | Mi amigo vive cerca. | Mein Freund wohnt in der Nähe. | Hoy veo a mi amigo. | Heute sehe ich meinen Freund. | aˈmiɣo
la escuela |  | f | Nomen | die Schule | Nuestra escuela es muy grande. | Unsere Schule ist sehr gross. | Vamos juntos a la escuela. | Wir gehen gemeinsam zur Schule. | esˈkwela
el profesor |  | m | Nomen | der Lehrer | El profesor escribe en la pizarra. | Der Lehrer schreibt an die Tafel. | Nuestro profesor hace una pregunta. | Unser Lehrer stellt eine Frage. | pɾofeˈsoɾ
el alumno |  | m | Nomen | der Schüler | El alumno abre su libro. | Der Schüler öffnet sein Buch. | Cada alumno tiene un lápiz. | Jeder Schüler hat einen Bleistift. | aˈlumno
el libro |  | m | Nomen | das Buch | Este libro es muy interesante. | Dieses Buch ist sehr interessant. | Hoy leo un libro. | Heute lese ich ein Buch. | ˈliβɾo
el cuaderno |  | m | Nomen | das Heft | Mi cuaderno está sobre la mesa. | Mein Heft liegt auf dem Tisch. | Ella escribe en su cuaderno. | Sie schreibt in ihr Heft. | kwaˈðeɾno
el lápiz | el lápiz, los lápices | m | Nomen | der Bleistift | Escribo con un lápiz. | Ich schreibe mit einem Bleistift. | Su lápiz está bajo la silla. | Sein Bleistift liegt unter dem Stuhl. | ˈlapiθ
el bolígrafo |  | m | Nomen | der Kugelschreiber | Mi bolígrafo está en la mochila. | Mein Kugelschreiber ist im Rucksack. | Ella escribe con un bolígrafo azul. | Sie schreibt mit einem blauen Kugelschreiber. | boˈliɣɾafo
la pizarra |  | f | Nomen | die Tafel | La respuesta está en la pizarra. | Die Antwort steht an der Tafel. | El profesor limpia la pizarra. | Der Lehrer reinigt die Tafel. | piˈθara
la mesa |  | f | Nomen | der Tisch | Los libros están sobre la mesa. | Die Bücher liegen auf dem Tisch. | Cenamos juntos en la mesa. | Wir essen gemeinsam am Tisch zu Abend. | ˈmesa
la silla |  | f | Nomen | der Stuhl | La silla está junto a la ventana. | Der Stuhl steht beim Fenster. | El gato duerme en la silla. | Die Katze schläft auf dem Stuhl. | ˈsiʝa
la pregunta |  | f | Nomen | die Frage | El profesor hace una pregunta. | Der Lehrer stellt eine Frage. | Entiendo bien tu pregunta. | Ich verstehe deine Frage gut. | pɾeˈɣunta
la respuesta |  | f | Nomen | die Antwort | Su respuesta es correcta. | Seine Antwort ist richtig. | Él escribe la respuesta lentamente. | Er schreibt die Antwort langsam. | resˈpwesta
uno |  |  | Zahlwort | eins | Tengo un hermano. | Ich habe einen Bruder. | Hay un libro sobre la mesa. | Ein Buch liegt auf dem Tisch. | ˈuno
dos |  |  | Zahlwort | zwei | Ella tiene dos buenos amigos. | Sie hat zwei gute Freunde. | Compramos dos litros de leche. | Wir kaufen zwei Liter Milch. | ˈdos
tres |  |  | Zahlwort | drei | Tres alumnos leen un libro. | Drei Schüler lesen ein Buch. | Él come tres manzanas pequeñas. | Er isst drei kleine Äpfel. | ˈtɾes
diez |  |  | Zahlwort | zehn | Nuestra clase tiene diez alumnos. | Unsere Klasse hat zehn Schüler. | El tren llega en diez minutos. | Der Zug kommt in zehn Minuten. | ˈdjeθ
cien |  |  | Zahlwort | hundert | Este libro tiene cien páginas. | Dieses Buch hat hundert Seiten. | Cien personas viven en esta calle. | Hundert Menschen wohnen in dieser Strasse. | ˈθjen
el día |  | m | Nomen | der Tag | Hoy es un buen día. | Heute ist ein guter Tag. | Aprendo español cada día. | Ich lerne jeden Tag Spanisch. | ˈdia
la semana |  | f | Nomen | die Woche | Tenemos escuela esta semana. | Wir haben diese Woche Schule. | Ella visita a su abuela cada semana. | Sie besucht jede Woche ihre Grossmutter. | seˈmana
el mes |  | m | Nomen | der Monat | Este mes tiene treinta días. | Dieser Monat hat dreissig Tage. | Viajamos el próximo mes. | Wir verreisen nächsten Monat. | ˈmes
el año |  | m | Nomen | das Jahr | El año empieza en enero. | Das Jahr beginnt im Januar. | Él vive aquí todo el año. | Er wohnt das ganze Jahr hier. | ˈaɲo
hoy |  |  | Adverb | heute | Hoy tenemos clase de español. | Heute haben wir Spanischunterricht. | Hace buen tiempo hoy. | Heute ist schönes Wetter. | ˈoj
mañana |  |  | Adverb | morgen | El tren sale mañana temprano. | Der Zug fährt morgen früh ab. | Mañana visito a mi amigo. | Morgen besuche ich meinen Freund. | maˈɲana
la hora |  | f | Nomen | die Stunde | La clase dura una hora. | Der Unterricht dauert eine Stunde. | Esperamos aquí durante una hora. | Wir warten hier eine Stunde. | ˈoɾa
la cabeza |  | f | Nomen | der Kopf | Me duele la cabeza. | Mein Kopf tut weh. | Él pone la mano sobre su cabeza. | Er legt die Hand auf seinen Kopf. | kaˈβeθa
la mano |  | f | Nomen | die Hand | Ella escribe con la mano izquierda. | Sie schreibt mit der linken Hand. | Dame la mano. | Gib mir die Hand. | ˈmano
el ojo |  | m | Nomen | das Auge | Su ojo izquierdo es azul. | Ihr linkes Auge ist blau. | Él cierra un ojo. | Er schliesst ein Auge. | ˈoxo
el pie |  | m | Nomen | der Fuss | Me duele el pie derecho. | Mein rechter Fuss tut weh. | Él se lava el pie izquierdo. | Er wäscht seinen linken Fuss. | ˈpje
el corazón |  | m | Nomen | das Herz | Mi corazón late muy rápido. | Mein Herz schlägt sehr schnell. | El médico escucha su corazón. | Der Arzt hört sein Herz ab. | koɾaˈθon
la boca |  | f | Nomen | der Mund | Abre la boca, por favor. | Öffne bitte den Mund. | El niño tiene una boca pequeña. | Das Kind hat einen kleinen Mund. | ˈboka
el agua |  | f | Nomen | das Wasser | Bebo agua cada mañana. | Ich trinke jeden Morgen Wasser. | El agua está muy fría. | Das Wasser ist sehr kalt. | ˈaɣwa
el pan |  | m | Nomen | das Brot | Comemos pan en el desayuno. | Wir essen Brot zum Frühstück. | Ella compra pan fresco. | Sie kauft frisches Brot. | ˈpan
la leche |  | f | Nomen | die Milch | El niño bebe leche caliente. | Das Kind trinkt warme Milch. | Tomamos leche en el desayuno. | Wir trinken Milch zum Frühstück. | ˈletʃe
la manzana |  | f | Nomen | der Apfel | Esta manzana está muy buena. | Dieser Apfel ist sehr gut. | Él come una manzana en la escuela. | Er isst in der Schule einen Apfel. | manˈθana
el queso |  | m | Nomen | der Käse | El queso está sobre la mesa. | Der Käse liegt auf dem Tisch. | Como pan con queso. | Ich esse Brot mit Käse. | ˈkeso
la carne |  | f | Nomen | das Fleisch | Comemos carne para cenar. | Wir essen Fleisch zum Abendessen. | La carne está todavía caliente. | Das Fleisch ist noch warm. | ˈkaɾne
el huevo |  | m | Nomen | das Ei | Como un huevo en el desayuno. | Ich esse ein Ei zum Frühstück. | El huevo está en la cocina. | Das Ei ist in der Küche. | ˈweβo
el pez | el pez, los peces | m | Nomen | der Fisch | El pez nada en el agua. | Der Fisch schwimmt im Wasser. | Compramos un pez para el acuario. | Wir kaufen einen Fisch für das Aquarium. | ˈpeθ
la sopa |  | f | Nomen | die Suppe | La sopa está muy caliente. | Die Suppe ist sehr heiss. | Mi madre prepara una buena sopa. | Meine Mutter kocht eine gute Suppe. | ˈsopa
el azúcar |  | m | Nomen | der Zucker | Tomo el café con azúcar. | Ich trinke den Kaffee mit Zucker. | El azúcar está sobre la mesa. | Der Zucker steht auf dem Tisch. | aˈθukaɾ
el desayuno |  | m | Nomen | das Frühstück | Tomamos el desayuno juntos. | Wir frühstücken gemeinsam. | El desayuno está listo a las siete. | Das Frühstück ist um sieben Uhr bereit. | desaˈʝuno
la cena |  | f | Nomen | das Abendessen | La cena está lista ahora. | Das Abendessen ist jetzt bereit. | Preparamos la cena juntos. | Wir bereiten das Abendessen gemeinsam zu. | ˈθena
la casa |  | f | Nomen | das Haus | Nuestra casa tiene un jardín. | Unser Haus hat einen Garten. | La casa está cerca de la escuela. | Das Haus steht nahe bei der Schule. | ˈkasa
el piso |  | m | Nomen | die Wohnung | Su piso es muy pequeño. | Ihre Wohnung ist sehr klein. | Vivimos en un piso nuevo. | Wir wohnen in einer neuen Wohnung. | ˈpiso
la habitación |  | f | Nomen | das Zimmer | Mi habitación tiene dos ventanas. | Mein Zimmer hat zwei Fenster. | Los niños juegan en esta habitación. | Die Kinder spielen in diesem Zimmer. | aβitaˈθjon
la puerta |  | f | Nomen | die Tür | Cierra la puerta, por favor. | Schliesse bitte die Tür. | El perro espera junto a la puerta. | Der Hund wartet bei der Tür. | ˈpweɾta
la ventana |  | f | Nomen | das Fenster | Abre la ventana, por favor. | Öffne bitte das Fenster. | El gato mira por la ventana. | Die Katze schaut aus dem Fenster. | benˈtana
la cama |  | f | Nomen | das Bett | El niño duerme en esta cama. | Das Kind schläft in diesem Bett. | Mi libro está sobre la cama. | Mein Buch liegt auf dem Bett. | ˈkama
la cocina |  | f | Nomen | die Küche | Mi padre cocina en la cocina. | Mein Vater kocht in der Küche. | Nuestra cocina tiene una mesa pequeña. | Unsere Küche hat einen kleinen Tisch. | koˈθina
el jardín |  | m | Nomen | der Garten | Los niños juegan en el jardín. | Die Kinder spielen im Garten. | Tenemos flores en el jardín. | Wir haben Blumen im Garten. | xaɾˈðin
el pantalón |  | m | Nomen | die Hose | Este pantalón es demasiado pequeño. | Diese Hose ist zu klein. | Su pantalón es nuevo y azul. | Seine Hose ist neu und blau. | pantaˈlon
la camisa |  | f | Nomen | das Hemd | Su camisa es blanca. | Sein Hemd ist weiss. | Busco una camisa nueva. | Ich suche ein neues Hemd. | kaˈmisa
el zapato |  | m | Nomen | der Schuh | Este zapato es demasiado grande. | Dieser Schuh ist zu gross. | Mi zapato está bajo la cama. | Mein Schuh liegt unter dem Bett. | θaˈpato
la chaqueta |  | f | Nomen | die Jacke | Su chaqueta está sobre la silla. | Ihre Jacke liegt auf dem Stuhl. | Llevo una chaqueta caliente. | Ich trage eine warme Jacke. | tʃaˈketa
el perro |  | m | Nomen | der Hund | El perro corre por el jardín. | Der Hund rennt durch den Garten. | Nuestro perro bebe agua. | Unser Hund trinkt Wasser. | ˈpero
el gato |  | m | Nomen | die Katze | El gato duerme sobre mi cama. | Die Katze schläft auf meinem Bett. | Nuestro gato tiene los ojos verdes. | Unsere Katze hat grüne Augen. | ˈɡato
el caballo |  | m | Nomen | das Pferd | El caballo come una manzana. | Das Pferd frisst einen Apfel. | Su caballo corre muy rápido. | Ihr Pferd rennt sehr schnell. | kaˈβaʝo
el pájaro |  | m | Nomen | der Vogel | Un pájaro está en el árbol. | Ein Vogel sitzt im Baum. | El pájaro tiene plumas azules. | Der Vogel hat blaue Federn. | ˈpaxaɾo
el árbol |  | m | Nomen | der Baum | Este árbol es muy viejo. | Dieser Baum ist sehr alt. | Un pájaro canta en el árbol. | Ein Vogel singt im Baum. | ˈaɾβol
la flor |  | f | Nomen | die Blume | Esta flor es muy bonita. | Diese Blume ist sehr schön. | Ella lleva una flor roja. | Sie trägt eine rote Blume. | ˈfloɾ
el sol |  | m | Nomen | die Sonne | El sol brilla hoy. | Die Sonne scheint heute. | Nos sentamos bajo el sol. | Wir setzen uns in die Sonne. | ˈsol
la lluvia |  | f | Nomen | der Regen | La lluvia empieza esta mañana. | Der Regen beginnt heute Morgen. | Jugamos fuera después de la lluvia. | Wir spielen nach dem Regen draussen. | ˈʝuβja
la ciudad |  | f | Nomen | die Stadt | Esta ciudad tiene una estación grande. | Diese Stadt hat einen grossen Bahnhof. | Mis abuelos viven en la ciudad. | Meine Grosseltern wohnen in der Stadt. | θjuˈðað
la calle |  | f | Nomen | die Strasse | Nuestra escuela está en esta calle. | Unsere Schule liegt in dieser Strasse. | La calle está muy tranquila hoy. | Die Strasse ist heute sehr ruhig. | ˈkaʝe
la estación |  | f | Nomen | der Bahnhof | El tren espera en la estación. | Der Zug wartet am Bahnhof. | Caminamos hasta la estación. | Wir gehen zu Fuss zum Bahnhof. | estaˈθjon
el coche |  | m | Nomen | das Auto | Nuestro coche es muy viejo. | Unser Auto ist sehr alt. | Mi madre conduce el coche. | Meine Mutter fährt das Auto. | ˈkotʃe
el tren |  | m | Nomen | der Zug | El tren llega a las diez. | Der Zug kommt um zehn Uhr an. | Vamos a la escuela en tren. | Wir fahren mit dem Zug zur Schule. | ˈtɾen
la tienda |  | f | Nomen | das Geschäft | La tienda abre a las ocho. | Das Geschäft öffnet um acht Uhr. | Compro pan en la tienda. | Ich kaufe Brot im Geschäft. | ˈtjenda
ser | ser: soy, eres, es |  | Verb | sein | Quiero ser profesor. | Ich möchte Lehrer sein. | Mi hermana es muy simpática. | Meine Schwester ist sehr nett. | ˈseɾ
tener | tener: tengo, tienes, tiene |  | Verb | haben | Tengo un libro nuevo. | Ich habe ein neues Buch. | Ellos tienen dos hijos. | Sie haben zwei Kinder. | teˈneɾ
ir | ir: voy, vas, va |  | Verb | gehen | Vamos juntos a la escuela. | Wir gehen gemeinsam zur Schule. | Voy ahora a la tienda. | Ich gehe jetzt ins Geschäft. | ˈiɾ
venir | venir: vengo, vienes, viene |  | Verb | kommen | Mis amigos vienen a nuestra casa. | Meine Freunde kommen zu unserem Haus. | Ven a casa mañana. | Komm morgen nach Hause. | beˈniɾ
hacer | hacer: hago, haces, hace |  | Verb | machen | Hacemos el desayuno juntos. | Wir machen gemeinsam das Frühstück. | Los alumnos hacen un dibujo grande. | Die Schüler machen eine grosse Zeichnung. | aˈθeɾ
decir | decir: digo, dices, dice |  | Verb | sagen | Di tu nombre lentamente. | Sag deinen Namen langsam. | Ellos dicen la respuesta juntos. | Sie sagen die Antwort gemeinsam. | deˈθiɾ
ver | ver: veo, ves, ve |  | Verb | sehen | Veo un pájaro fuera. | Ich sehe draussen einen Vogel. | Vemos a nuestros amigos en la escuela. | Wir sehen unsere Freunde in der Schule. | ˈbeɾ
comer |  |  | Verb | essen | Comemos a las siete. | Wir essen um sieben Uhr. | Los niños comen pan y queso. | Die Kinder essen Brot und Käse. | koˈmeɾ
beber |  |  | Verb | trinken | Bebo agua cada día. | Ich trinke jeden Tag Wasser. | Ellos beben leche por la mañana. | Sie trinken morgens Milch. | beˈβeɾ
aprender |  |  | Verb | lernen | Aprendemos español en la escuela. | Wir lernen in der Schule Spanisch. | Aprendo diez palabras nuevas. | Ich lerne zehn neue Wörter. | apɾenˈdeɾ
jugar | jugar: juego, juegas, juega |  | Verb | spielen | Los niños juegan en el jardín. | Die Kinder spielen im Garten. | Juego con mi amigo. | Ich spiele mit meinem Freund. | xuˈɣaɾ
vivir |  |  | Verb | wohnen | Vivimos cerca de la estación. | Wir wohnen nahe beim Bahnhof. | Mis abuelos viven en la ciudad. | Meine Grosseltern wohnen in der Stadt. | biˈβiɾ
grande |  |  | Adjektiv | gross | Su casa es muy grande. | Ihr Haus ist sehr gross. | Él tiene un perro grande. | Er hat einen grossen Hund. | ˈɡɾande
pequeño |  |  | Adjektiv | klein | Mi habitación es muy pequeña. | Mein Zimmer ist sehr klein. | Ella tiene un gato pequeño. | Sie hat eine kleine Katze. | peˈkeɲo
bueno |  |  | Adjektiv | gut | Esta sopa está muy buena. | Diese Suppe ist sehr gut. | Él es un buen profesor. | Er ist ein guter Lehrer. | ˈbweno
malo |  |  | Adjektiv | schlecht | El tiempo es malo hoy. | Das Wetter ist heute schlecht. | Esta es una respuesta mala. | Das ist eine schlechte Antwort. | ˈmalo
nuevo |  |  | Adjektiv | neu | Mi hermana tiene un libro nuevo. | Meine Schwester hat ein neues Buch. | Vivimos en una casa nueva. | Wir wohnen in einem neuen Haus. | ˈnweβo
viejo |  |  | Adjektiv | alt | Mi abuelo tiene un perro viejo. | Mein Grossvater hat einen alten Hund. | Este árbol es muy viejo. | Dieser Baum ist sehr alt. | ˈbjexo
=== it-de ===
la famiglia |  | f | Nomen | die Familie | La mia famiglia vive in Svizzera. | Meine Familie lebt in der Schweiz. | Tutta la famiglia cena insieme. | Die ganze Familie isst gemeinsam zu Abend. | faˈmiʎʎa
la madre |  | f | Nomen | die Mutter | Mia madre lavora a casa. | Meine Mutter arbeitet zu Hause. | Sua madre prepara una minestra. | Seine Mutter kocht eine Suppe. | ˈmadre
il padre |  | m | Nomen | der Vater | Mio padre legge un libro. | Mein Vater liest ein Buch. | Suo padre guida la macchina. | Ihr Vater fährt das Auto. | ˈpadre
i genitori |  | m pl | Nomen | die Eltern | I miei genitori vivono a Zurigo. | Meine Eltern wohnen in Zürich. | I suoi genitori arrivano domani. | Ihre Eltern kommen morgen an. | dʒeniˈtori
la sorella |  | f | Nomen | die Schwester | Mia sorella va a scuola. | Meine Schwester geht zur Schule. | Sua sorella gioca in giardino. | Seine Schwester spielt im Garten. | soˈrɛlla
il fratello |  | m | Nomen | der Bruder | Mio fratello ha un cane. | Mein Bruder hat einen Hund. | Suo fratello beve il latte. | Ihr Bruder trinkt Milch. | fraˈtɛllo
la nonna |  | f | Nomen | die Grossmutter | Mia nonna prepara il pane. | Meine Grossmutter macht Brot. | Sua nonna abita qui vicino. | Seine Grossmutter wohnt hier in der Nähe. | ˈnɔnna
il nonno |  | m | Nomen | der Grossvater | Mio nonno legge ogni giorno. | Mein Grossvater liest jeden Tag. | Suo nonno ha una vecchia macchina. | Ihr Grossvater hat ein altes Auto. | ˈnɔnno
la figlia |  | f | Nomen | die Tochter | Sua figlia ha dieci anni. | Ihre Tochter ist zehn Jahre alt. | Mia figlia impara l'italiano. | Meine Tochter lernt Italienisch. | ˈfiʎʎa
il figlio |  | m | Nomen | der Sohn | Suo figlio gioca con il cane. | Ihr Sohn spielt mit dem Hund. | Mio figlio torna domani. | Mein Sohn kommt morgen zurück. | ˈfiʎʎo
il bambino |  | m | Nomen | das Kind | Il bambino beve acqua. | Das Kind trinkt Wasser. | Ogni bambino ha un libro. | Jedes Kind hat ein Buch. | bamˈbino
l'uomo | l'uomo, gli uomini | m | Nomen | der Mann | L'uomo apre la porta. | Der Mann öffnet die Tür. | Un uomo aspetta davanti alla scuola. | Ein Mann wartet vor der Schule. | ˈwɔmo
la donna |  | f | Nomen | die Frau | La donna compra il formaggio. | Die Frau kauft Käse. | Una donna aspetta alla stazione. | Eine Frau wartet am Bahnhof. | ˈdɔnna
l'amico |  | m | Nomen | der Freund | Il mio amico abita vicino. | Mein Freund wohnt in der Nähe. | Oggi vedo il mio amico. | Heute sehe ich meinen Freund. | aˈmiko
